Gas,Source,T_K,T_C,P_bar,m_low,m_high,m_avg,dm,x_low,x_high,ks_data
CH4,Blount 1982,512.650000,239.500000,1120.500000,3.211800,5.764200,4.488000,2.552400,0.011400,0.009111,0.038136
CH4,Blount 1982,512.650000,239.500000,1104.500000,3.211800,5.679800,4.445800,2.468000,0.011400,0.009335,0.035166
CH4,Blount 1982,512.400000,239.250000,907.000000,3.211800,5.616900,4.414350,2.405100,0.010137,0.008901,0.023480
CH4,Blount 1982,512.400000,239.250000,911.000000,3.211800,5.477400,4.344600,2.265600,0.010137,0.008696,0.029392
CH4,Blount 1982,512.540000,239.390000,698.500000,3.296000,5.066000,4.181000,1.770000,0.008984,0.007392,0.047858
CH4,Blount 1982,297.870000,24.720000,34.815000,0.907000,1.860000,1.383500,0.953000,0.000615,0.000461,0.130588
CH4,Blount 1982,298.010000,24.860000,34.815000,0.907000,1.860000,1.383500,0.953000,0.000721,0.000461,0.203610
CH4,Blount 1982,323.430000,50.280000,139.790000,0.907000,1.897000,1.402000,0.990000,0.001522,0.001153,0.121532
CH4,Blount 1982,323.430000,50.280000,139.450000,0.907000,2.990000,1.948500,2.083000,0.001522,0.000842,0.123488
CH4,Blount 1982,323.430000,50.280000,139.305000,0.907000,1.897000,1.402000,0.990000,0.001348,0.001153,0.068493
CH4,Blount 1982,323.430000,50.280000,138.965000,0.907000,2.990000,1.948500,2.083000,0.001348,0.000842,0.098280
CH4,Blount 1982,323.290000,50.140000,71.465000,0.907000,1.878000,1.392500,0.971000,0.000908,0.000774,0.071771
CH4,Blount 1982,323.845000,50.695000,70.085000,0.907000,1.897000,1.402000,0.990000,0.000908,0.000706,0.110514
CH4,Blount 1982,323.290000,50.140000,70.085000,0.907000,2.990000,1.948500,2.083000,0.000908,0.000566,0.098667
CH4,Blount 1982,323.705000,50.555000,70.085000,0.907000,2.934000,1.920500,2.027000,0.000908,0.000579,0.096403
CH4,Blount 1982,322.875000,49.725000,9.065000,0.907000,1.897000,1.402000,0.990000,0.000120,0.000095,0.103156
CH4,Blount 1982,322.595000,49.445000,8.960000,0.907000,2.934000,1.920500,2.027000,0.000120,0.000069,0.119163
CH4,Blount 1982,322.595000,49.445000,8.790000,0.907000,2.990000,1.948500,2.083000,0.000120,0.000073,0.103645
CH4,Blount 1982,343.705000,70.555000,137.070000,0.801000,2.990000,1.895500,2.189000,0.001199,0.000883,0.060796
CH4,Blount 1982,343.290000,70.140000,70.535000,0.801000,2.990000,1.895500,2.189000,0.000800,0.000483,0.100093
CH4,Blount 1982,322.320000,49.170000,138.240000,1.897000,2.990000,2.443500,1.093000,0.001153,0.000842,0.125260
CH4,Blount 1982,322.320000,49.170000,137.900000,1.897000,2.990000,2.443500,1.093000,0.001099,0.000842,0.106129
CH4,Blount 1982,322.040000,48.890000,70.330000,1.878000,2.990000,2.434000,1.112000,0.000774,0.000566,0.122152
CH4,Blount 1982,322.455000,49.305000,70.330000,1.878000,2.934000,2.406000,1.056000,0.000774,0.000579,0.119052
CH4,Blount 1982,322.595000,49.445000,68.950000,1.878000,2.990000,2.434000,1.112000,0.000692,0.000566,0.078744
CH4,Blount 1982,323.010000,49.860000,68.950000,1.878000,2.934000,2.406000,1.056000,0.000692,0.000579,0.073343
CH4,Blount 1982,322.595000,49.445000,68.950000,1.897000,2.990000,2.443500,1.093000,0.000706,0.000566,0.087936
CH4,Blount 1982,323.010000,49.860000,68.950000,1.897000,2.934000,2.415500,1.037000,0.000706,0.000579,0.082932
CH4,Blount 1982,322.875000,49.725000,34.470000,1.897000,2.934000,2.415500,1.037000,0.000407,0.000331,0.086961
CH4,Blount 1982,323.570000,50.420000,34.470000,1.897000,2.934000,2.415500,1.037000,0.000407,0.000331,0.086961
CH4,Blount 1982,323.710000,50.560000,34.470000,1.897000,2.934000,2.415500,1.037000,0.000353,0.000331,0.027053
CH4,Blount 1982,323.430000,50.280000,9.065000,1.897000,2.934000,2.415500,1.037000,0.000095,0.000069,0.134444
CH4,Blount 1982,323.430000,50.280000,8.790000,1.897000,2.990000,2.443500,1.093000,0.000082,0.000073,0.042843
CH4,Blount 1982,372.900000,99.750000,135.290000,1.897000,3.334800,2.615900,1.437800,0.001113,0.001343,-0.056811
CH4,Blount 1982,373.540000,100.390000,139.790000,1.897000,7.087700,4.492350,5.190700,0.001113,0.000940,0.014115
CH4,Blount 1982,372.900000,99.750000,134.950000,1.897000,3.334800,2.615900,1.437800,0.001045,0.001343,-0.075794
CH4,Blount 1982,373.540000,100.390000,139.450000,1.897000,7.087700,4.492350,5.190700,0.001045,0.000940,0.008857
