Gas,Source,T_K,T_C,P_Pa,P_bar,x_gas_exp,y_H2O_exp,kij_AQ,kij_AQ_conv,kij_NA,kij_NA_conv
C2H6,Culberson 1950,444.26,171.11,9450000,94.50,1.311000e-03,,0.088287,True,,False
C2H6,Culberson 1950,444.26,171.11,13690000,136.90,1.671000e-03,,0.086782,True,,False
C2H6,Culberson 1950,444.26,171.11,17960000,179.60,1.970000e-03,,0.084353,True,,False
C2H6,Culberson 1950,444.26,171.11,25100000,251.00,2.325000e-03,,0.082455,True,,False
C2H6,Culberson 1950,444.26,171.11,29540000,295.40,2.480000e-03,,0.082248,True,,False
C2H6,Culberson 1950,444.26,171.11,34720000,347.20,2.515000e-03,,0.086655,True,,False
C2H6,Culberson 1950,444.26,171.11,36200000,362.00,2.635000e-03,,0.083277,True,,False
C2H6,Culberson 1950,444.26,171.11,45710000,457.10,2.790000e-03,,0.084734,True,,False
C2H6,Culberson 1950,444.26,171.11,57360000,573.60,3.060000e-03,,0.081430,True,,False
C2H6,Culberson 1950,444.26,171.11,64360000,643.60,3.200000e-03,,0.079612,True,,False
C2H6,Culberson 1950,444.26,171.11,67810000,678.10,3.300000e-03,,0.077652,True,,False
C2H6,Danneil 1967,473.15,200.00,20000000,200.00,5.000000e-03,1.200000e-01,0.067155,True,0.298932,True
C2H6,Danneil 1967,473.15,200.00,50000000,500.00,5.000000e-03,7.000000e-02,0.108661,True,0.392409,True
C2H6,Danneil 1967,473.15,200.00,100000000,1000.00,5.000000e-03,7.000000e-02,0.122975,True,0.303442,True
C2H6,Danneil 1967,473.15,200.00,150000000,1500.00,5.000000e-03,7.000000e-02,0.124502,True,0.264779,True
C2H6,Danneil 1967,473.15,200.00,200000000,2000.00,5.000000e-03,7.000000e-02,0.122499,True,0.242713,True
C2H6,Danneil 1967,473.15,200.00,250000000,2500.00,5.000000e-03,7.000000e-02,0.119254,True,0.234324,True
C2H6,Danneil 1967,473.15,200.00,300000000,3000.00,5.000000e-03,7.000000e-02,0.115581,True,0.226833,True
C2H6,Danneil 1967,473.15,200.00,350000000,3500.00,5.000000e-03,7.000000e-02,0.111816,True,0.217146,True
C2H6,Danneil 1967,523.15,250.00,20000000,200.00,7.000000e-03,3.100000e-01,0.185893,True,0.268471,True
C2H6,Danneil 1967,523.15,250.00,50000000,500.00,1.000000e-02,2.190000e-01,0.189070,True,0.281693,True
C2H6,Danneil 1967,523.15,250.00,100000000,1000.00,1.250000e-02,1.500000e-01,0.171874,True,0.319750,True
C2H6,Danneil 1967,523.15,250.00,150000000,1500.00,1.500000e-02,1.150000e-01,0.147300,True,0.346343,True
C2H6,Danneil 1967,523.15,250.00,200000000,2000.00,1.750000e-02,9.800000e-02,0.124397,True,0.354625,True
C2H6,Danneil 1967,523.15,250.00,250000000,2500.00,2.000000e-02,9.800000e-02,0.104113,True,0.327201,True
C2H6,Danneil 1967,523.15,250.00,300000000,3000.00,2.250000e-02,9.800000e-02,0.086273,True,0.306620,True
C2H6,Danneil 1967,523.15,250.00,350000000,3500.00,2.500000e-02,9.800000e-02,0.070533,True,0.290322,True
C2H6,Danneil 1967,573.15,300.00,20000000,200.00,1.000000e-02,5.460000e-01,0.374142,True,0.276236,True
C2H6,Danneil 1967,573.15,300.00,50000000,500.00,2.000000e-02,4.130000e-01,0.308340,True,0.293015,True
C2H6,Danneil 1967,573.15,300.00,100000000,1000.00,2.400000e-02,2.660000e-01,0.273090,True,0.348544,True
C2H6,Danneil 1967,573.15,300.00,150000000,1500.00,2.800000e-02,1.720000e-01,0.237988,True,0.425582,True
C2H6,Danneil 1967,573.15,300.00,200000000,2000.00,3.200000e-02,1.450000e-01,0.208462,True,0.428980,True
C2H6,Danneil 1967,573.15,300.00,250000000,2500.00,3.500000e-02,1.450000e-01,0.186386,True,0.391915,True
C2H6,Danneil 1967,573.15,300.00,300000000,3000.00,3.800000e-02,1.450000e-01,0.167334,True,0.364847,True
C2H6,Danneil 1967,573.15,300.00,350000000,3500.00,4.100000e-02,1.450000e-01,0.150729,True,0.343833,True
C2H6,Reamer1943,310.93,37.78,1379000,13.79,,5.007000e-03,,False,0.286157,True
C2H6,Reamer1943,310.93,37.78,2758000,27.58,,2.641000e-03,,False,0.368341,True
C2H6,Reamer1943,310.93,37.78,4137000,41.37,,1.859000e-03,,False,0.388678,True
C2H6,Reamer1943,310.93,37.78,5516000,55.16,,1.474000e-03,,False,0.387212,True
C2H6,Reamer1943,310.93,37.78,6895000,68.95,,1.244000e-03,,False,0.418439,True
C2H6,Reamer1943,310.93,37.78,13790000,137.90,,8.120000e-04,,False,0.479291,True
C2H6,Reamer1943,310.93,37.78,24132000,241.32,,7.340000e-04,,False,0.476047,True
C2H6,Reamer1943,310.93,37.78,34474000,344.74,,6.200000e-04,,False,0.489341,True
C2H6,Reamer1943,310.93,37.78,68948000,689.48,,6.290000e-04,,False,0.458873,True
C2H6,Reamer1943,344.26,71.11,1379000,13.79,,2.449000e-02,,False,0.355590,True
C2H6,Reamer1943,344.26,71.11,2758000,27.58,,1.269000e-02,,False,0.433372,True
C2H6,Reamer1943,344.26,71.11,5516000,55.16,,6.833000e-03,,False,0.444328,True
C2H6,Reamer1943,344.26,71.11,6895000,68.95,,5.675000e-03,,False,0.443885,True
C2H6,Reamer1943,344.26,71.11,13790000,137.90,,3.409000e-03,,False,0.480534,True
C2H6,Reamer1943,344.26,71.11,34474000,344.74,,2.218000e-03,,False,0.505784,True
C2H6,Reamer1943,344.26,71.11,68948000,689.48,,1.952000e-03,,False,0.484929,True
C2H6,Reamer1943,377.59,104.44,1379000,13.79,,8.782000e-02,,False,0.008296,True
C2H6,Reamer1943,377.59,104.44,2758000,27.58,,4.507000e-02,,False,0.394142,True
C2H6,Reamer1943,377.59,104.44,5516000,55.16,,2.372000e-02,,False,0.465746,True
C2H6,Reamer1943,377.59,104.44,6895000,68.95,,1.951000e-02,,False,0.469795,True
C2H6,Reamer1943,377.59,104.44,13790000,137.90,,1.121000e-02,,False,0.486216,True
C2H6,Reamer1943,377.59,104.44,34474000,344.74,,6.603000e-03,,False,0.511257,True
C2H6,Reamer1943,377.59,104.44,68948000,689.48,,5.207000e-03,,False,0.499519,True
C2H6,Reamer1943,410.93,137.78,2758000,27.58,,1.279000e-01,,False,0.015605,True
C2H6,Reamer1943,410.93,137.78,5516000,55.16,,6.661000e-02,,False,0.409130,True
C2H6,Reamer1943,410.93,137.78,6895000,68.95,,5.447000e-02,,False,0.443916,True
C2H6,Reamer1943,410.93,137.78,13790000,137.90,,3.051000e-02,,False,0.485496,True
C2H6,Reamer1943,410.93,137.78,34474000,344.74,,1.701000e-02,,False,0.505129,True
C2H6,Reamer1943,410.93,137.78,68948000,689.48,,1.274000e-02,,False,0.494775,True
C2H6,Reamer1943,444.26,171.11,6895000,68.95,,1.291000e-01,,False,0.279425,True
C2H6,Reamer1943,444.26,171.11,13790000,137.90,,7.169000e-02,,False,0.450128,True
C2H6,Reamer1943,444.26,171.11,34474000,344.74,,3.906000e-02,,False,0.482599,True
C2H6,Reamer1943,444.26,171.11,68948000,689.48,,2.795000e-02,,False,0.478541,True
C2H6,Reamer1943,477.59,204.44,6895000,68.95,,2.701000e-01,,False,0.054128,True
C2H6,Reamer1943,477.59,204.44,13790000,137.90,,1.514000e-01,,False,0.303202,True
C2H6,Reamer1943,477.59,204.44,34474000,344.74,,8.201000e-02,,False,0.429552,True
C2H6,Reamer1943,477.59,204.44,68948000,689.48,,5.649000e-02,,False,0.445461,True
C2H6,Reamer1943,510.93,237.78,6895000,68.95,,5.052000e-01,,False,-0.093597,True
C2H6,Reamer1943,510.93,237.78,13790000,137.90,,2.890000e-01,,False,0.215159,True
C2H6,Reamer1943,510.93,237.78,34474000,344.74,,1.570000e-01,,False,0.339363,True
C2H6,Reamer1943,510.93,237.78,68948000,689.48,,1.079000e-01,,False,0.380512,True
C2H6,Rettich 1981,275.44,2.29,72903,0.73,7.257400e-05,,-0.256448,True,,False
C2H6,Rettich 1981,278.15,5.00,85143,0.85,6.501100e-05,,-0.241929,True,,False
C2H6,Rettich 1981,283.14,9.99,55840,0.56,5.401900e-05,,-0.249398,True,,False
C2H6,Rettich 1981,283.16,10.01,69813,0.70,5.401600e-05,,-0.238512,True,,False
C2H6,Rettich 1981,283.77,10.62,86349,0.86,5.285400e-05,,-0.226599,True,,False
C2H6,Rettich 1981,288.15,15.00,76683,0.77,4.553900e-05,,-0.221282,True,,False
C2H6,Rettich 1981,293.15,20.00,89804,0.90,3.904400e-05,,-0.200861,True,,False
C2H6,Rettich 1981,298.14,24.99,72356,0.72,3.403200e-05,,-0.200184,True,,False
C2H6,Rettich 1981,298.15,25.00,58090,0.58,3.406500e-05,,-0.211869,True,,False
C2H6,Rettich 1981,298.15,25.00,95681,0.96,3.402900e-05,,-0.185387,True,,False
