Source,Gas,T_K,P_bar,Sal_m,y_H2O,x_Gas,Notes
Kobayashi1953,C3H8,369.65,32.96,0,,0.0002449,205.7F 478psia
Kobayashi1953,C3H8,369.65,62.74,0,,0.0002842,205.7F 910psia
Kobayashi1953,C3H8,369.65,124.80,0,,0.0003008,205.7F 1810psia
Kobayashi1953,C3H8,369.65,192.14,0,,0.0003134,205.7F 2787psia
Kobayashi1953,C3H8,383.15,15.31,0,,0.0001301,230F 222psia
Kobayashi1953,C3H8,383.15,34.75,0,,0.0002633,230F 504psia
Kobayashi1953,C3H8,383.15,55.85,0,,0.0003243,230F 810psia
Kobayashi1953,C3H8,383.15,77.77,0,,0.0003414,230F 1128psia
Kobayashi1953,C3H8,383.15,124.80,0,,0.0003542,230F 1810psia
Kobayashi1953,C3H8,383.15,192.14,0,,0.0003765,230F 2787psia
Kobayashi1953,C3H8,399.82,22.89,0,,0.0001964,260F 332psia
Kobayashi1953,C3H8,399.82,35.23,0,,0.0002892,260F 511psia
Kobayashi1953,C3H8,399.82,51.78,0,,0.0003665,260F 751psia
Kobayashi1953,C3H8,399.82,84.94,0,,0.0004197,260F 1232psia
Kobayashi1953,C3H8,399.82,124.80,0,,0.0004393,260F 1810psia
Kobayashi1953,C3H8,399.82,192.14,0,,0.0004766,260F 2787psia
Kobayashi1953,C3H8,422.04,18.27,0,,0.0001666,300F 265psia
Kobayashi1953,C3H8,422.04,32.47,0,,0.0003031,300F 471psia
Kobayashi1953,C3H8,422.04,47.85,0,,0.0004130,300F 694psia
Kobayashi1953,C3H8,422.04,68.04,0,,0.0004876,300F 987psia
Kobayashi1953,C3H8,422.04,107.89,0,,0.0005801,300F 1565psia
Kobayashi1953,C3H8,422.04,124.80,0,,0.0006078,300F 1810psia
Kobayashi1953,C3H8,422.04,192.14,0,,0.0006861,300F 2787psia
# ============================================================
# Reamer Sage Lacey 1952 - n-Butane-Water Two-Phase Region
# DOI: 10.1021/ie50507a044
# Table I: Phase compositions (y_H2O in HC phase x1e3; x_nC4 in aq phase)
# HC column = mole fraction water x 1000; Aq column = mole fraction nC4
# Below: selected data at 280F, 340F, 400F, 460F where experimental data available
# ============================================================
# 280F = 410.93K; 3-phase at 590.9 psia = 40.74 bar
Reamer1952,nC4H10,410.93,40.74,0,0.0708,0.000220,3-phase 280F gas
Reamer1952,nC4H10,410.93,13.79,0,,0.000096,280F 200psia aq-phase
Reamer1952,nC4H10,410.93,20.68,0,,0.000148,280F 300psia
Reamer1952,nC4H10,410.93,27.58,0,,0.000191,280F 400psia
Reamer1952,nC4H10,410.93,34.47,0,,0.000220,280F 500psia
Reamer1952,nC4H10,410.93,55.16,0,,0.000222,280F 800psia
Reamer1952,nC4H10,410.93,68.95,0,,0.000224,280F 1000psia
Reamer1952,nC4H10,410.93,137.90,0,,0.000235,280F 2000psia
Reamer1952,nC4H10,410.93,344.74,0,,0.000258,280F 5000psia
Reamer1952,nC4H10,410.93,689.48,0,,0.000285,280F 10000psia
# 340F = 444.26K; 3-phase at (estimated ~118 psia? - paper shows header value)
Reamer1952,nC4H10,444.26,13.79,0,,0.000074,340F 200psia
Reamer1952,nC4H10,444.26,27.58,0,,0.000219,340F 400psia
Reamer1952,nC4H10,444.26,55.16,0,,0.000368,340F 800psia
Reamer1952,nC4H10,444.26,68.95,0,,0.000386,340F 1000psia
Reamer1952,nC4H10,444.26,137.90,0,,0.000434,340F 2000psia
Reamer1952,nC4H10,444.26,344.74,0,,0.000487,340F 5000psia
Reamer1952,nC4H10,444.26,689.48,0,,0.000528,340F 10000psia
# 400F = 477.59K
Reamer1952,nC4H10,477.59,55.16,0,,0.000488,400F 800psia
Reamer1952,nC4H10,477.59,68.95,0,,0.000569,400F 1000psia
Reamer1952,nC4H10,477.59,137.90,0,,0.000736,400F 2000psia
Reamer1952,nC4H10,477.59,344.74,0,,0.000920,400F 5000psia
Reamer1952,nC4H10,477.59,689.48,0,,0.001002,400F 10000psia
# 460F = 510.93K
Reamer1952,nC4H10,510.93,55.16,0,,0.000600,460F 800psia
Reamer1952,nC4H10,510.93,68.95,0,,0.000640,460F 1000psia
Reamer1952,nC4H10,510.93,137.90,0,,0.001150,460F 2000psia
Reamer1952,nC4H10,510.93,344.74,0,,0.001498,460F 5000psia
Reamer1952,nC4H10,510.93,689.48,0,,0.001711,460F 10000psia
# ============================================================
# Gillespie & Wilson 1980 - GPA Research Report RR-41
# N2-H2O, H2-H2O, H2S-H2O VLE data
# Tables 1, 2, 5. Parenthetical values are interpolated (INTERP).
# Liquid x_N2 and x_H2 originally reported as ×10^-3; converted here.
# Vapor y_H2O originally in mole percent; converted to mole fraction.
# ============================================================
