Gas,Source,T_K,T_C,P_bar,Sal_m,x_fresh,x_brine,T_fresh,P_fresh,dT_K,dP_pct,ks_data
CO2,Yan 2011,413.200000,140.050000,50.000000,1.000000,0.006770,0.005520,413.200000,50.000000,0.000000,0.000000,0.088650
CO2,Yan 2011,413.200000,140.050000,100.000000,1.000000,0.012580,0.010250,413.200000,100.000000,0.000000,0.000000,0.088957
CO2,Yan 2011,413.200000,140.050000,150.000000,1.000000,0.017170,0.014760,413.200000,150.000000,0.000000,0.000000,0.065684
CO2,Yan 2011,413.200000,140.050000,200.000000,1.000000,0.020350,0.017040,413.200000,200.000000,0.000000,0.000000,0.077095
CO2,Yan 2011,413.200000,140.050000,300.000000,1.000000,0.024660,0.021870,413.200000,300.000000,0.000000,0.000000,0.052144
CO2,Yan 2011,413.200000,140.050000,400.000000,1.000000,0.027400,0.022610,413.200000,400.000000,0.000000,0.000000,0.083450
CO2,Yan 2011,323.200000,50.050000,50.000000,5.000000,0.014730,0.006020,323.200000,50.000000,0.000000,0.000000,0.077721
CO2,Yan 2011,323.200000,50.050000,100.000000,5.000000,0.021370,0.008760,323.200000,100.000000,0.000000,0.000000,0.077460
CO2,Yan 2011,323.200000,50.050000,150.000000,5.000000,0.022060,0.009870,323.200000,150.000000,0.000000,0.000000,0.069858
CO2,Yan 2011,323.200000,50.050000,200.000000,5.000000,0.022850,0.009970,323.200000,200.000000,0.000000,0.000000,0.072038
CO2,Yan 2011,323.200000,50.050000,300.000000,5.000000,0.024920,0.010770,323.200000,300.000000,0.000000,0.000000,0.072866
CO2,Yan 2011,323.200000,50.050000,400.000000,5.000000,0.025690,0.011650,323.200000,400.000000,0.000000,0.000000,0.068688
CO2,Yan 2011,373.200000,100.050000,50.000000,5.000000,0.008260,0.003830,373.200000,50.000000,0.000000,0.000000,0.066756
CO2,Yan 2011,373.200000,100.050000,100.000000,5.000000,0.014270,0.006520,373.200000,100.000000,0.000000,0.000000,0.068035
CO2,Yan 2011,373.200000,100.050000,150.000000,5.000000,0.017950,0.008590,373.200000,150.000000,0.000000,0.000000,0.064014
CO2,Yan 2011,373.200000,100.050000,200.000000,5.000000,0.020440,0.010310,373.200000,200.000000,0.000000,0.000000,0.059444
CO2,Yan 2011,373.200000,100.050000,300.000000,5.000000,0.023140,0.011400,373.200000,300.000000,0.000000,0.000000,0.061492
CO2,Yan 2011,373.200000,100.050000,400.000000,5.000000,0.025340,0.011330,373.200000,400.000000,0.000000,0.000000,0.069915
CO2,Yan 2011,413.200000,140.050000,50.000000,5.000000,0.006770,0.003420,413.200000,50.000000,0.000000,0.000000,0.059313
CO2,Yan 2011,413.200000,140.050000,100.000000,5.000000,0.012580,0.005800,413.200000,100.000000,0.000000,0.000000,0.067251
CO2,Yan 2011,413.200000,140.050000,150.000000,5.000000,0.017170,0.008250,413.200000,150.000000,0.000000,0.000000,0.063663
CO2,Yan 2011,413.200000,140.050000,200.000000,5.000000,0.020350,0.010570,413.200000,200.000000,0.000000,0.000000,0.056898
CO2,Yan 2011,413.200000,140.050000,300.000000,5.000000,0.024660,0.011130,413.200000,300.000000,0.000000,0.000000,0.069100
CO2,Yan 2011,413.200000,140.050000,400.000000,5.000000,0.027400,0.012680,413.200000,400.000000,0.000000,0.000000,0.066926
H2S,Koschel 2013,323.100000,49.950000,17.600000,1.000000,0.017500,0.014800,323.100000,17.200000,0.000000,2.272727,0.072776
H2S,Koschel 2013,323.100000,49.950000,78.900000,1.000000,0.038800,0.033300,323.100000,78.300000,0.000000,0.760456,0.066387
