Gas,Source,T_K,T_C,P_Pa,P_bar,x_gas_exp,y_H2O_exp,kij_AQ,kij_AQ_conv,kij_NA,kij_NA_conv
CH4,Culberson 1951,444.26,171.11,9377000,93.77,1.725000e-03,,0.063777,True,,False
CH4,Culberson 1951,444.26,171.11,13238000,132.38,2.355000e-03,,0.060966,True,,False
CH4,Culberson 1951,444.26,171.11,17788000,177.88,3.025000e-03,,0.059254,True,,False
CH4,Culberson 1951,444.26,171.11,24683000,246.83,3.835000e-03,,0.061736,True,,False
CH4,Culberson 1951,444.26,171.11,34784000,347.84,4.875000e-03,,0.061881,True,,False
CH4,Culberson 1951,444.26,171.11,44988000,449.88,5.950000e-03,,0.055700,True,,False
CH4,Culberson 1951,444.26,171.11,56605000,566.05,6.800000e-03,,0.055946,True,,False
CH4,Culberson 1951,444.26,171.11,68912000,689.12,7.750000e-03,,0.051636,True,,False
CH4,O'Sullivan 1970,324.65,51.50,10133000,101.33,1.427000e-03,,-0.219842,True,,False
CH4,O'Sullivan 1970,324.65,51.50,20265000,202.65,2.279000e-03,,-0.218640,True,,False
CH4,O'Sullivan 1970,324.65,51.50,30398000,303.98,2.870000e-03,,-0.217890,True,,False
CH4,O'Sullivan 1970,324.65,51.50,40530000,405.30,3.340000e-03,,-0.217632,True,,False
CH4,O'Sullivan 1970,324.65,51.50,50663000,506.63,3.730000e-03,,-0.217352,True,,False
CH4,O'Sullivan 1970,324.65,51.50,60795000,607.95,4.090000e-03,,-0.217681,True,,False
CH4,O'Sullivan 1970,375.65,102.50,10234000,102.34,1.355000e-03,,-0.096965,True,,False
CH4,O'Sullivan 1970,375.65,102.50,20366000,203.66,2.205000e-03,,-0.091272,True,,False
CH4,O'Sullivan 1970,375.65,102.50,30600000,306.00,2.870000e-03,,-0.090055,True,,False
CH4,O'Sullivan 1970,375.65,102.50,40834000,408.34,3.330000e-03,,-0.086540,True,,False
CH4,O'Sullivan 1970,375.65,102.50,50967000,509.67,3.850000e-03,,-0.089182,True,,False
CH4,O'Sullivan 1970,375.65,102.50,61200000,612.00,4.190000e-03,,-0.087529,True,,False
CH4,O'Sullivan 1970,398.15,125.00,10436000,104.36,1.434000e-03,,-0.040331,True,,False
CH4,O'Sullivan 1970,398.15,125.00,20670000,206.70,2.321000e-03,,-0.031736,True,,False
CH4,O'Sullivan 1970,398.15,125.00,30904000,309.04,2.960000e-03,,-0.026514,True,,False
CH4,O'Sullivan 1970,398.15,125.00,41037000,410.37,3.430000e-03,,-0.022052,True,,False
CH4,O'Sullivan 1970,398.15,125.00,51372000,513.72,3.960000e-03,,-0.024067,True,,False
CH4,O'Sullivan 1970,398.15,125.00,61606000,616.06,4.300000e-03,,-0.021765,True,,False
CH4,Olds 1942,310.93,37.78,8297000,82.97,,1.278000e-03,,False,0.341340,True
CH4,Olds 1942,310.93,37.78,8616000,86.16,,1.467000e-03,,False,0.207613,True
CH4,Olds 1942,310.93,37.78,13485000,134.85,,6.710000e-04,,False,0.587806,True
CH4,Olds 1942,310.93,37.78,13716000,137.16,,6.710000e-04,,False,0.581430,True
CH4,Olds 1942,310.93,37.78,20818000,208.18,,6.450000e-04,,False,0.496720,True
CH4,Olds 1942,310.93,37.78,20862000,208.62,,6.300000e-04,,False,0.505268,True
CH4,Olds 1942,310.93,37.78,27917000,279.17,,4.230000e-04,,False,0.592259,True
CH4,Olds 1942,310.93,37.78,34664000,346.64,,5.060000e-04,,False,0.511673,True
CH4,Olds 1942,310.93,37.78,41711000,417.11,,4.840000e-04,,False,0.505924,True
CH4,Olds 1942,310.93,37.78,48521000,485.21,,4.230000e-04,,False,0.525018,True
CH4,Olds 1942,310.93,37.78,55362000,553.62,,4.270000e-04,,False,0.511665,True
CH4,Olds 1942,310.93,37.78,62344000,623.44,,4.080000e-04,,False,0.512142,True
CH4,Olds 1942,344.26,71.11,2672000,26.72,,1.335000e-02,,False,0.420013,True
CH4,Olds 1942,344.26,71.11,6289000,62.89,,6.417000e-03,,False,0.444324,True
CH4,Olds 1942,344.26,71.11,9645000,96.45,,4.503000e-03,,False,0.484959,True
CH4,Olds 1942,344.26,71.11,14399000,143.99,,3.394000e-03,,False,0.494949,True
CH4,Olds 1942,344.26,71.11,21063000,210.63,,2.721000e-03,,False,0.495691,True
CH4,Olds 1942,344.26,71.11,28205000,282.05,,2.301000e-03,,False,0.504946,True
CH4,Olds 1942,344.26,71.11,35152000,351.52,,2.128000e-03,,False,0.496378,True
CH4,Olds 1942,344.26,71.11,41793000,417.93,,1.890000e-03,,False,0.510687,True
CH4,Olds 1942,344.26,71.11,68154000,681.54,,1.692000e-03,,False,0.484824,True
CH4,Olds 1942,377.59,104.44,2987000,29.87,,4.281000e-02,,False,0.293261,True
CH4,Olds 1942,377.59,104.44,6591000,65.91,,2.069000e-02,,False,0.489520,True
CH4,Olds 1942,377.59,104.44,9315000,93.15,,1.545000e-02,,False,0.508323,True
CH4,Olds 1942,377.59,104.44,13810000,138.10,,1.120000e-02,,False,0.530917,True
CH4,Olds 1942,377.59,104.44,20923000,209.23,,8.459000e-03,,False,0.524053,True
CH4,Olds 1942,377.59,104.44,27901000,279.01,,7.123000e-03,,False,0.520400,True
CH4,Olds 1942,377.59,104.44,35411000,354.11,,6.253000e-03,,False,0.518038,True
CH4,Olds 1942,377.59,104.44,41781000,417.81,,5.788000e-03,,False,0.513459,True
