Gas,Source,T_K,T_C,P_Pa,P_bar,x_gas_exp,y_H2O_exp,kij_AQ,kij_AQ_conv,kij_NA,kij_NA_conv
CO2,Ellis & Golding 1963,502.15,229.00,7435500,74.36,7.671000e-03,,0.176067,True,,False
CO2,Ellis & Golding 1963,508.15,235.00,6069700,60.70,4.728000e-03,,0.247203,True,,False
CO2,Ellis & Golding 1963,534.15,261.00,9791700,97.92,1.010000e-02,,0.270753,True,,False
CO2,Ellis & Golding 1963,534.15,261.00,10146300,101.46,1.078000e-02,,0.264021,True,,False
CO2,Ellis & Golding 1963,538.15,265.00,7422700,74.23,4.718000e-03,,0.397124,True,,False
CO2,Findlay 1910,298.15,25.00,100300,1.00,5.970000e-04,,-0.122914,True,,False
CO2,Findlay 1910,298.15,25.00,112100,1.12,6.670000e-04,,-0.122900,True,,False
CO2,Findlay 1910,298.15,25.00,127300,1.27,7.570000e-04,,-0.122873,True,,False
CO2,Findlay 1910,298.15,25.00,141800,1.42,8.540000e-04,,-0.123721,True,,False
CO2,Findlay 1910,298.15,25.00,153700,1.54,9.160000e-04,,-0.123041,True,,False
CO2,Findlay 1910,298.15,25.00,165700,1.66,9.880000e-04,,-0.123080,True,,False
CO2,Findlay 1910,298.15,25.00,180100,1.80,1.075000e-03,,-0.123162,True,,False
CO2,Findlay 1913,298.15,25.00,36100,0.36,2.150000e-04,,-0.122904,True,,False
CO2,Findlay 1913,298.15,25.00,52300,0.52,3.090000e-04,,-0.122390,True,,False
CO2,Findlay 1913,298.15,25.00,63900,0.64,3.800000e-04,,-0.122829,True,,False
CO2,Findlay 1913,298.15,25.00,66000,0.66,3.920000e-04,,-0.122747,True,,False
CO2,Findlay 1913,298.15,25.00,88900,0.89,5.290000e-04,,-0.122887,True,,False
CO2,Findlay 1913,298.15,25.00,102400,1.02,6.090000e-04,,-0.122864,True,,False
CO2,Hou 2012,298.15,25.00,1666000,16.66,8.870000e-03,2.680000e-03,-0.117446,True,-0.244937,True
CO2,Hou 2012,298.15,25.00,3258000,32.58,1.540000e-02,1.600000e-03,-0.112911,True,0.020780,True
CO2,Hou 2012,298.15,25.00,6391000,63.91,2.484000e-02,1.940000e-03,-0.110770,True,0.014138,True
CO2,Hou 2012,298.15,25.00,10183000,101.83,2.630000e-02,4.490000e-03,-0.110618,True,0.144346,True
CO2,Hou 2012,298.15,25.00,13434000,134.34,2.782000e-02,5.580000e-03,-0.111636,True,0.127218,True
CO2,Hou 2012,298.15,25.00,17551000,175.51,2.944000e-02,6.770000e-03,-0.112505,True,0.112446,True
CO2,Hou 2012,323.15,50.00,1089000,10.89,3.330000e-03,2.811000e-02,-0.086010,True,-0.355022,False
CO2,Hou 2012,323.15,50.00,2980000,29.80,9.010000e-03,5.070000e-03,-0.089016,True,0.290589,True
CO2,Hou 2012,323.15,50.00,7406000,74.06,1.829000e-02,3.500000e-03,-0.086831,True,0.202165,True
CO2,Hou 2012,323.15,50.00,10021000,100.21,2.054000e-02,4.030000e-03,-0.084025,True,0.211389,True
CO2,Hou 2012,323.15,50.00,12973000,129.73,2.141000e-02,5.330000e-03,-0.081667,True,0.205819,True
CO2,Hou 2012,323.15,50.00,17533000,175.33,2.255000e-02,6.140000e-03,-0.080404,True,0.206172,True
CO2,Hou 2012,348.15,75.00,1101000,11.01,2.220000e-03,3.132000e-02,-0.053350,True,0.999994,True
CO2,Hou 2012,348.15,75.00,2921000,29.21,6.080000e-03,1.422000e-02,-0.060011,True,0.478848,True
CO2,Hou 2012,348.15,75.00,7123000,71.23,1.267000e-02,8.450000e-03,-0.057575,True,0.275462,True
CO2,Hou 2012,348.15,75.00,10167000,101.67,1.593000e-02,8.050000e-03,-0.056267,True,0.240856,True
CO2,Hou 2012,348.15,75.00,13282000,132.82,1.856000e-02,8.360000e-03,-0.056884,True,0.240691,True
CO2,Hou 2012,348.15,75.00,16918000,169.18,1.993000e-02,9.960000e-03,-0.054651,True,0.217595,True
CO2,Hou 2012,373.15,100.00,1107000,11.07,1.690000e-03,8.802000e-02,-0.021609,True,0.279419,True
CO2,Hou 2012,373.15,100.00,2426000,24.26,3.900000e-03,4.691000e-02,-0.029503,True,0.104345,True
CO2,Hou 2012,373.15,100.00,7088000,70.88,1.085000e-02,2.102000e-02,-0.035375,True,0.231530,True
CO2,Hou 2012,373.15,100.00,10235000,102.35,1.365000e-02,1.747000e-02,-0.030514,True,0.250042,True
CO2,Hou 2012,373.15,100.00,13352000,133.52,1.626000e-02,1.675000e-02,-0.030272,True,0.244706,True
CO2,Hou 2012,373.15,100.00,17070000,170.70,1.872000e-02,1.712000e-02,-0.030317,True,0.239819,True
CO2,Hou 2012,398.15,125.00,1158000,11.58,1.420000e-03,2.131200e-01,0.014558,True,-0.062327,True
CO2,Hou 2012,398.15,125.00,3176000,31.76,4.440000e-03,8.529000e-02,-0.004202,True,0.093171,True
CO2,Hou 2012,398.15,125.00,7321000,73.21,1.005000e-02,4.458000e-02,-0.010787,True,0.197891,True
CO2,Hou 2012,398.15,125.00,9984000,99.84,1.308000e-02,3.560000e-02,-0.011509,True,0.254841,True
CO2,Hou 2012,398.15,125.00,13456000,134.56,1.573000e-02,3.363000e-02,-0.007360,True,0.235418,True
CO2,Hou 2012,398.15,125.00,17435000,174.35,1.857000e-02,3.090000e-02,-0.006511,True,0.252175,True
CO2,Hou 2012,423.15,150.00,1428000,14.28,1.270000e-03,3.464000e-01,0.074867,True,-0.091714,True
CO2,Hou 2012,423.15,150.00,2987000,29.87,3.480000e-03,1.892700e-01,0.037420,True,-0.101239,True
CO2,Hou 2012,423.15,150.00,7197000,71.97,8.700000e-03,9.452000e-02,0.024594,True,0.112550,True
CO2,Hou 2012,423.15,150.00,10014000,100.14,1.231000e-02,7.499000e-02,0.017259,True,0.179754,True
CO2,Hou 2012,423.15,150.00,13418000,134.18,1.557000e-02,6.368000e-02,0.017578,True,0.211713,True
CO2,Hou 2012,423.15,150.00,17355000,173.55,1.905000e-02,5.661000e-02,0.016674,True,0.236292,True
CO2,Hou 2012,448.15,175.00,1327000,13.27,6.300000e-04,7.043100e-01,0.198403,True,-0.454629,False
CO2,Hou 2012,448.15,175.00,3657000,36.57,3.690000e-03,2.900000e-01,0.084538,True,-0.150800,True
CO2,Hou 2012,448.15,175.00,7565000,75.65,8.610000e-03,1.573100e-01,0.060438,True,0.173181,True
CO2,Hou 2012,448.15,175.00,10497000,104.97,1.135000e-02,1.192100e-01,0.062112,True,0.283102,True
CO2,Hou 2012,448.15,175.00,13442000,134.42,1.413000e-02,1.066700e-01,0.060632,True,0.240356,True
CO2,Hou 2012,448.15,175.00,17459000,174.59,1.764000e-02,1.017500e-01,0.058866,True,0.184021,True
CO2,Kunerth 1922,293.15,20.00,101300,1.01,6.627000e-04,,-0.126482,True,,False
CO2,Kunerth 1922,295.15,22.00,101300,1.01,6.360000e-04,,-0.124887,True,,False
CO2,Kunerth 1922,297.15,24.00,101300,1.01,6.038000e-04,,-0.122516,True,,False
CO2,Kunerth 1922,299.15,26.00,101300,1.01,5.720000e-04,,-0.119917,True,,False
CO2,Kunerth 1922,301.15,28.00,101300,1.01,5.412000e-04,,-0.117146,True,,False
CO2,Kunerth 1922,303.15,30.00,101300,1.01,5.102000e-04,,-0.114035,True,,False
CO2,Kunerth 1922,305.15,32.00,101300,1.01,4.795000e-04,,-0.110616,True,,False
CO2,Kunerth 1922,307.15,34.00,101300,1.01,4.486000e-04,,-0.106775,True,,False
CO2,Malinin 1959,473.15,200.00,9800000,98.00,1.220000e-02,,0.081465,True,,False
CO2,Malinin 1959,473.15,200.00,19600000,196.00,,1.580000e-01,,False,0.166167,True
CO2,Malinin 1959,473.15,200.00,29400000,294.00,3.260000e-02,,0.072537,True,,False
CO2,Malinin 1959,473.15,200.00,39200000,392.00,3.760000e-02,,0.080241,True,,False
CO2,Malinin 1959,473.15,200.00,49000000,490.00,4.280000e-02,,0.082140,True,,False
CO2,Malinin 1959,473.15,200.00,58800000,588.00,,1.820000e-01,,False,0.103644,True
CO2,Malinin 1959,523.15,250.00,9800000,98.00,1.080000e-02,,0.219287,True,,False
CO2,Malinin 1959,523.15,250.00,19600000,196.00,,3.850000e-01,,False,-0.005565,True
CO2,Malinin 1959,523.15,250.00,29400000,294.00,4.400000e-02,,0.147592,True,,False
CO2,Malinin 1959,523.15,250.00,39200000,392.00,5.540000e-02,,0.151002,True,,False
CO2,Malinin 1959,523.15,250.00,49000000,490.00,,3.360000e-01,,False,0.119141,True
CO2,Muller 1988,373.15,100.00,325000,3.25,4.500000e-04,2.880000e-01,-0.010231,True,-0.208983,True
CO2,Muller 1988,373.15,100.00,600000,6.00,9.800000e-04,1.550000e-01,-0.027176,True,-0.101065,True
CO2,Muller 1988,373.15,100.00,920000,9.20,1.590000e-03,1.070000e-01,-0.033398,True,-0.047786,True
CO2,Muller 1988,373.15,100.00,1191000,11.91,2.080000e-03,7.700000e-02,-0.034972,True,0.933560,True
CO2,Muller 1988,373.15,100.00,1452000,14.52,2.610000e-03,6.900000e-02,-0.038315,True,0.347088,True
CO2,Muller 1988,373.15,100.00,1816000,18.16,3.280000e-03,5.400000e-02,-0.039508,True,0.622328,True
CO2,Muller 1988,373.15,100.00,2307000,23.07,4.140000e-03,4.500000e-02,-0.039868,True,0.449337,True
CO2,Muller 1988,393.15,120.00,599000,5.99,7.100000e-04,3.370000e-01,0.016190,True,-0.186834,True
CO2,Muller 1988,393.15,120.00,939000,9.39,1.270000e-03,2.050000e-01,0.001001,True,-0.074325,True
CO2,Muller 1988,393.15,120.00,1265000,12.65,1.810000e-03,1.600000e-01,-0.005813,True,-0.030286,True
CO2,Muller 1988,393.15,120.00,1631000,16.31,2.390000e-03,1.220000e-01,-0.009146,True,0.013666,True
CO2,Muller 1988,393.15,120.00,1995000,19.95,2.980000e-03,1.020000e-01,-0.011951,True,0.041691,True
CO2,Muller 1988,393.15,120.00,2412000,24.12,3.630000e-03,8.300000e-02,-0.013591,True,0.313288,True
CO2,Muller 1988,393.15,120.00,2848000,28.48,4.280000e-03,7.400000e-02,-0.014310,True,0.219156,True
CO2,Muller 1988,413.15,140.00,650000,6.50,4.700000e-04,5.690000e-01,0.091125,True,-0.494441,True
CO2,Muller 1988,413.15,140.00,926000,9.26,9.200000e-04,4.060000e-01,0.051845,True,-0.191757,True
CO2,Muller 1988,413.15,140.00,1193000,11.93,1.330000e-03,3.170000e-01,0.037304,True,-0.100198,True
CO2,Muller 1988,413.15,140.00,1603000,16.03,1.970000e-03,2.420000e-01,0.024688,True,-0.030096,True
CO2,Muller 1988,413.15,140.00,2010000,20.10,2.580000e-03,2.000000e-01,0.018648,True,0.006752,True
CO2,Muller 1988,413.15,140.00,2489000,24.89,3.250000e-03,1.610000e-01,0.015658,True,0.053757,True
CO2,Muller 1988,413.15,140.00,3247000,32.47,4.300000e-03,1.280000e-01,0.012498,True,0.095769,True
CO2,Muller 1988,433.15,160.00,878000,8.78,3.900000e-04,7.320000e-01,0.181531,True,-0.473768,False
CO2,Muller 1988,433.15,160.00,1144000,11.44,8.400000e-04,5.790000e-01,0.113185,True,-0.470913,True
CO2,Muller 1988,433.15,160.00,1417000,14.17,1.310000e-03,4.760000e-01,0.081661,True,-0.484124,True
CO2,Muller 1988,433.15,160.00,1777000,17.77,1.860000e-03,3.880000e-01,0.064308,True,-0.480338,True
CO2,Muller 1988,433.15,160.00,2183000,21.83,2.490000e-03,3.230000e-01,0.052063,True,-0.477494,True
CO2,Muller 1988,433.15,160.00,2588000,25.88,3.080000e-03,2.750000e-01,0.045659,True,-0.220672,True
CO2,Muller 1988,433.15,160.00,3480000,34.80,4.340000e-03,2.110000e-01,0.037842,True,-0.028751,True
CO2,Muller 1988,453.15,180.00,1439000,14.39,8.100000e-04,7.280000e-01,0.182665,True,-0.448543,False
CO2,Muller 1988,453.15,180.00,2101000,21.01,1.860000e-03,5.220000e-01,0.114018,True,-0.497814,True
CO2,Muller 1988,453.15,180.00,2615000,26.15,2.700000e-03,4.310000e-01,0.090354,True,-0.495819,True
CO2,Muller 1988,453.15,180.00,3280000,32.80,3.740000e-03,3.590000e-01,0.074619,True,-0.366166,True
CO2,Muller 1988,453.15,180.00,4070000,40.70,4.930000e-03,3.000000e-01,0.064478,True,-0.214303,True
CO2,Muller 1988,453.15,180.00,4910000,49.10,6.150000e-03,2.570000e-01,0.058260,True,-0.106868,True
CO2,Muller 1988,453.15,180.00,6270000,62.70,7.830000e-03,2.070000e-01,0.056444,True,0.066933,True
CO2,Muller 1988,473.15,200.00,2000000,20.00,6.800000e-04,7.670000e-01,0.305951,True,-0.422559,False
CO2,Muller 1988,473.15,200.00,2027000,20.27,9.100000e-04,7.550000e-01,0.260134,True,-0.422272,False
CO2,Muller 1988,473.15,200.00,2494000,24.94,1.560000e-03,6.290000e-01,0.204506,True,-0.417321,True
CO2,Muller 1988,473.15,200.00,2638000,26.38,1.960000e-03,5.920000e-01,0.176066,True,-0.415800,True
CO2,Muller 1988,473.15,200.00,3100000,31.00,2.570000e-03,5.140000e-01,0.157226,True,-0.202859,True
CO2,Muller 1988,473.15,200.00,3400000,34.00,3.200000e-03,4.710000e-01,0.136079,True,-0.068558,True
CO2,Muller 1988,473.15,200.00,3760000,37.60,3.740000e-03,4.260000e-01,0.126477,True,0.019419,True
CO2,Muller 1988,473.15,200.00,4200000,42.00,4.480000e-03,3.920000e-01,0.114468,True,0.072861,True
CO2,Muller 1988,473.15,200.00,4570000,45.70,5.000000e-03,3.650000e-01,0.109769,True,0.110593,True
CO2,Muller 1988,473.15,200.00,5120000,51.20,5.860000e-03,3.320000e-01,0.101684,True,0.153501,True
CO2,Muller 1988,473.15,200.00,6040000,60.40,7.120000e-03,2.920000e-01,0.095544,True,0.203132,True
CO2,Muller 1988,473.15,200.00,6520000,65.20,7.890000e-03,2.760000e-01,0.090695,True,0.222723,True
CO2,Muller 1988,473.15,200.00,7800000,78.00,9.320000e-03,2.440000e-01,0.090686,True,0.262210,True
CO2,Muller 1988,473.15,200.00,8110000,81.10,1.032000e-02,2.380000e-01,0.080565,True,0.269734,True
CO2,Sander 1911,293.15,20.00,2450000,24.50,5.470000e-03,,-0.064622,True,,False
CO2,Sander 1911,293.15,20.00,2940000,29.40,6.080000e-03,,-0.061595,True,,False
CO2,Sander 1911,293.15,20.00,3920000,39.20,6.490000e-03,,-0.051801,True,,False
CO2,Sander 1911,293.15,20.00,4900000,49.00,8.700000e-03,,-0.059973,True,,False
CO2,Sander 1911,293.15,20.00,5390000,53.90,9.620000e-03,,-0.062453,True,,False
CO2,Sander 1911,308.15,35.00,2940000,29.40,8.620000e-03,,-0.084888,True,,False
CO2,Sander 1911,308.15,35.00,3920000,39.20,1.083000e-02,,-0.083669,True,,False
CO2,Sander 1911,308.15,35.00,4900000,49.00,1.381000e-02,,-0.087783,True,,False
CO2,Sander 1911,308.15,35.00,5880000,58.80,1.663000e-02,,-0.091102,True,,False
CO2,Sander 1911,308.15,35.00,6860000,68.60,1.968000e-02,,-0.095411,True,,False
CO2,Sander 1911,308.15,35.00,7850000,78.50,2.127000e-02,,-0.096165,True,,False
CO2,Sander 1911,333.15,60.00,3920000,39.20,5.910000e-03,,-0.039626,True,,False
CO2,Sander 1911,333.15,60.00,4900000,49.00,8.250000e-03,,-0.050832,True,,False
CO2,Sander 1911,333.15,60.00,5880000,58.80,9.300000e-03,,-0.049107,True,,False
CO2,Sander 1911,333.15,60.00,6860000,68.60,1.075000e-02,,-0.051488,True,,False
CO2,Sander 1911,333.15,60.00,7850000,78.50,1.391000e-02,,-0.063533,True,,False
CO2,Sander 1911,333.15,60.00,8830000,88.30,1.321000e-02,,-0.054649,True,,False
CO2,Sander 1911,333.15,60.00,9810000,98.10,1.704000e-02,,-0.068576,True,,False
CO2,Sander 1911,333.15,60.00,10790000,107.90,1.717000e-02,,-0.065876,True,,False
CO2,Sander 1911,333.15,60.00,11770000,117.70,2.090000e-02,,-0.076858,True,,False
CO2,Sander 1911,375.15,102.00,5880000,58.80,5.510000e-03,,0.014764,True,,False
CO2,Sander 1911,375.15,102.00,6860000,68.60,3.670000e-03,,0.065701,True,,False
CO2,Sander 1911,375.15,102.00,7850000,78.50,5.370000e-03,,0.039125,True,,False
CO2,Sander 1911,375.15,102.00,8830000,88.30,6.210000e-03,,0.033606,True,,False
CO2,Sander 1911,375.15,102.00,9810000,98.10,7.100000e-03,,0.028041,True,,False
CO2,Sander 1911,375.15,102.00,10790000,107.90,9.310000e-03,,0.008914,True,,False
CO2,Sander 1911,375.15,102.00,11770000,117.70,9.010000e-03,,0.017196,True,,False
CO2,Sander 1911,375.15,102.00,12750000,127.50,9.640000e-03,,0.015570,True,,False
CO2,Sander 1911,375.15,102.00,13730000,137.30,9.740000e-03,,0.018653,True,,False
CO2,Sander 1911,375.15,102.00,14710000,147.10,9.660000e-03,,0.022967,True,,False
CO2,Sander 1911,375.15,102.00,15690000,156.90,1.385000e-02,,-0.006327,True,,False
CO2,Sander 1911,375.15,102.00,16670000,166.70,1.429000e-02,,-0.006222,True,,False
CO2,Shagiakhmetov 1981,323.15,50.00,10000000,100.00,1.999000e-02,,-0.082322,True,,False
CO2,Shagiakhmetov 1981,323.15,50.00,20000000,200.00,2.293000e-02,,-0.079550,True,,False
CO2,Shagiakhmetov 1981,323.15,50.00,40000000,400.00,2.655000e-02,,-0.078325,True,,False
CO2,Shagiakhmetov 1981,323.15,50.00,60000000,600.00,2.854000e-02,,-0.076281,True,,False
CO2,Shagiakhmetov 1981,373.15,100.00,10000000,100.00,1.444000e-02,,-0.037009,True,,False
CO2,Shagiakhmetov 1981,373.15,100.00,20000000,200.00,2.030000e-02,,-0.030470,True,,False
CO2,Shagiakhmetov 1981,373.15,100.00,40000000,400.00,2.509000e-02,,-0.024427,True,,False
CO2,Shagiakhmetov 1981,373.15,100.00,60000000,600.00,2.907000e-02,,-0.024427,True,,False
CO2,Shagiakhmetov 1981,373.15,100.00,80000000,800.00,3.521000e-02,,-0.031147,True,,False
CO2,Shagiakhmetov 1981,423.15,150.00,10000000,100.00,1.160000e-02,,0.024070,True,,False
CO2,Shagiakhmetov 1981,423.15,150.00,20000000,200.00,2.092000e-02,,0.017348,True,,False
CO2,Shagiakhmetov 1981,423.15,150.00,40000000,400.00,3.037000e-02,,0.021927,True,,False
CO2,Shagiakhmetov 1981,423.15,150.00,60000000,600.00,4.291000e-02,,0.008963,True,,False
CO2,Shagiakhmetov 1981,423.15,150.00,80000000,800.00,5.823000e-02,,-0.004434,True,,False
CO2,Takenouchi & Kennedy 1964,383.15,110.00,10000000,100.00,1.400000e-02,4.400000e-02,-0.028331,True,-0.145132,True
CO2,Takenouchi & Kennedy 1964,383.15,110.00,20000000,200.00,2.100000e-02,4.200000e-02,-0.024445,True,0.018035,True
CO2,Takenouchi & Kennedy 1964,383.15,110.00,30000000,300.00,2.400000e-02,5.200000e-02,-0.019178,True,0.036871,True
CO2,Takenouchi & Kennedy 1964,383.15,110.00,40000000,400.00,2.600000e-02,6.800000e-02,-0.015745,True,0.015791,True
CO2,Takenouchi & Kennedy 1964,383.15,110.00,50000000,500.00,2.800000e-02,8.600000e-02,-0.014597,True,-0.004721,True
CO2,Takenouchi & Kennedy 1964,383.15,110.00,60000000,600.00,3.000000e-02,1.070000e-01,-0.014567,True,-0.024059,True
CO2,Takenouchi & Kennedy 1964,383.15,110.00,70000000,700.00,3.150000e-02,1.280000e-01,-0.013919,True,-0.038078,True
CO2,Takenouchi & Kennedy 1964,383.15,110.00,80000000,800.00,3.300000e-02,1.460000e-01,-0.013802,True,-0.046410,True
CO2,Takenouchi & Kennedy 1964,383.15,110.00,90000000,900.00,3.450000e-02,1.600000e-01,-0.014046,True,-0.050698,True
CO2,Takenouchi & Kennedy 1964,383.15,110.00,100000000,1000.00,3.600000e-02,1.700000e-01,-0.014541,True,-0.050052,True
CO2,Takenouchi & Kennedy 1964,383.15,110.00,110000000,1100.00,3.700000e-02,1.780000e-01,-0.014219,True,-0.047631,True
CO2,Takenouchi & Kennedy 1964,383.15,110.00,120000000,1200.00,3.750000e-02,1.840000e-01,-0.013140,True,-0.045507,True
CO2,Takenouchi & Kennedy 1964,383.15,110.00,130000000,1300.00,3.850000e-02,1.900000e-01,-0.013243,True,-0.043620,True
CO2,Takenouchi & Kennedy 1964,383.15,110.00,140000000,1400.00,3.900000e-02,1.960000e-01,-0.012559,True,-0.041940,True
CO2,Takenouchi & Kennedy 1964,383.15,110.00,150000000,1500.00,4.000000e-02,2.000000e-01,-0.012937,True,-0.040437,True
CO2,Takenouchi & Kennedy 1964,423.15,150.00,10000000,100.00,1.350000e-02,1.200000e-01,0.006379,True,-0.239948,True
CO2,Takenouchi & Kennedy 1964,423.15,150.00,20000000,200.00,2.150000e-02,9.000000e-02,0.014390,True,-0.022464,True
CO2,Takenouchi & Kennedy 1964,423.15,150.00,30000000,300.00,2.600000e-02,1.000000e-01,0.021489,True,0.013122,True
CO2,Takenouchi & Kennedy 1964,423.15,150.00,40000000,400.00,2.900000e-02,1.180000e-01,0.026503,True,0.010513,True
CO2,Takenouchi & Kennedy 1964,423.15,150.00,50000000,500.00,3.200000e-02,1.380000e-01,0.027861,True,0.002052,True
CO2,Takenouchi & Kennedy 1964,423.15,150.00,60000000,600.00,3.450000e-02,1.600000e-01,0.028881,True,-0.008041,True
CO2,Takenouchi & Kennedy 1964,423.15,150.00,70000000,700.00,3.700000e-02,1.760000e-01,0.028781,True,-0.011450,True
CO2,Takenouchi & Kennedy 1964,423.15,150.00,80000000,800.00,3.900000e-02,1.920000e-01,0.029164,True,-0.008283,True
CO2,Takenouchi & Kennedy 1964,423.15,150.00,90000000,900.00,4.050000e-02,2.060000e-01,0.030055,True,-0.003940,True
CO2,Takenouchi & Kennedy 1964,423.15,150.00,100000000,1000.00,4.200000e-02,2.200000e-01,0.030435,True,-0.000268,True
CO2,Takenouchi & Kennedy 1964,423.15,150.00,110000000,1100.00,4.400000e-02,2.300000e-01,0.029469,True,0.002880,True
CO2,Takenouchi & Kennedy 1964,423.15,150.00,120000000,1200.00,4.500000e-02,2.360000e-01,0.030165,True,0.005598,True
CO2,Takenouchi & Kennedy 1964,423.15,150.00,130000000,1300.00,4.600000e-02,2.420000e-01,0.030573,True,0.007965,False
CO2,Takenouchi & Kennedy 1964,423.15,150.00,140000000,1400.00,4.700000e-02,2.460000e-01,0.030750,True,0.010035,False
CO2,Takenouchi & Kennedy 1964,423.15,150.00,150000000,1500.00,4.800000e-02,2.480000e-01,0.030740,True,0.011859,False
CO2,Takenouchi & Kennedy 1964,473.15,200.00,10000000,100.00,1.300000e-02,2.850000e-01,0.074679,True,-0.421555,True
CO2,Takenouchi & Kennedy 1964,473.15,200.00,20000000,200.00,2.600000e-02,1.800000e-01,0.062180,True,0.051401,True
CO2,Takenouchi & Kennedy 1964,473.15,200.00,30000000,300.00,3.400000e-02,1.750000e-01,0.069178,True,0.073609,True
CO2,Takenouchi & Kennedy 1964,473.15,200.00,40000000,400.00,4.100000e-02,1.840000e-01,0.071723,True,0.075157,True
CO2,Takenouchi & Kennedy 1964,473.15,200.00,50000000,500.00,4.700000e-02,2.000000e-01,0.073239,True,0.067517,True
CO2,Takenouchi & Kennedy 1964,473.15,200.00,60000000,600.00,5.200000e-02,2.200000e-01,0.074697,True,0.057519,True
CO2,Takenouchi & Kennedy 1964,473.15,200.00,70000000,700.00,5.600000e-02,2.400000e-01,0.076406,True,0.060659,True
CO2,Takenouchi & Kennedy 1964,473.15,200.00,80000000,800.00,5.800000e-02,2.550000e-01,0.080101,True,0.068527,True
CO2,Takenouchi & Kennedy 1964,473.15,200.00,90000000,900.00,6.100000e-02,2.680000e-01,0.081006,True,0.074833,True
CO2,Takenouchi & Kennedy 1964,473.15,200.00,100000000,1000.00,6.300000e-02,2.800000e-01,0.082617,True,0.079975,False
CO2,Takenouchi & Kennedy 1964,473.15,200.00,110000000,1100.00,6.500000e-02,2.840000e-01,0.083565,True,0.084226,False
CO2,Takenouchi & Kennedy 1964,473.15,200.00,120000000,1200.00,6.700000e-02,2.940000e-01,0.084019,True,0.087773,False
CO2,Takenouchi & Kennedy 1964,473.15,200.00,130000000,1300.00,6.900000e-02,3.000000e-01,0.084101,True,0.090757,False
CO2,Takenouchi & Kennedy 1964,473.15,200.00,140000000,1400.00,7.000000e-02,3.060000e-01,0.085051,True,0.093286,False
CO2,Takenouchi & Kennedy 1964,473.15,200.00,150000000,1500.00,7.200000e-02,3.100000e-01,0.084573,True,0.095437,False
CO2,Takenouchi & Kennedy 1964,523.15,250.00,10000000,100.00,1.200000e-02,5.900000e-01,0.202458,True,-0.499994,True
CO2,Takenouchi & Kennedy 1964,523.15,250.00,20000000,200.00,2.700000e-02,3.640000e-01,0.169897,True,0.065827,True
CO2,Takenouchi & Kennedy 1964,523.15,250.00,30000000,300.00,4.200000e-02,3.200000e-01,0.156832,True,0.124199,True
CO2,Takenouchi & Kennedy 1964,523.15,250.00,40000000,400.00,5.500000e-02,3.240000e-01,0.154056,True,0.117191,True
CO2,Takenouchi & Kennedy 1964,523.15,250.00,50000000,500.00,6.400000e-02,3.400000e-01,0.158048,True,0.122005,True
CO2,Takenouchi & Kennedy 1964,523.15,250.00,60000000,600.00,7.400000e-02,3.640000e-01,0.158017,True,0.145161,True
CO2,Takenouchi & Kennedy 1964,523.15,250.00,70000000,700.00,8.400000e-02,3.870000e-01,0.157360,True,0.161356,False
CO2,Takenouchi & Kennedy 1964,523.15,250.00,80000000,800.00,9.400000e-02,4.070000e-01,0.156582,True,0.173188,False
CO2,Takenouchi & Kennedy 1964,523.15,250.00,90000000,900.00,1.040000e-01,4.200000e-01,0.155925,True,0.182080,False
CO2,Takenouchi & Kennedy 1964,523.15,250.00,100000000,1000.00,1.150000e-01,4.330000e-01,0.153307,True,0.188902,False
CO2,Takenouchi & Kennedy 1964,523.15,250.00,110000000,1100.00,1.250000e-01,4.450000e-01,0.158317,True,0.194211,False
CO2,Takenouchi & Kennedy 1964,523.15,250.00,120000000,1200.00,1.320000e-01,4.520000e-01,0.158317,True,0.198384,False
CO2,Takenouchi & Kennedy 1964,523.15,250.00,130000000,1300.00,1.360000e-01,4.580000e-01,0.158317,True,0.201687,False
CO2,Takenouchi & Kennedy 1964,523.15,250.00,140000000,1400.00,1.400000e-01,4.600000e-01,0.158317,True,0.204313,False
CO2,Takenouchi & Kennedy 1964,523.15,250.00,150000000,1500.00,1.440000e-01,4.600000e-01,0.158317,True,0.206399,False
CO2,Takenouchi & Kennedy 1964,533.15,260.00,20000000,200.00,2.700000e-02,4.280000e-01,0.201795,True,0.011590,True
CO2,Takenouchi & Kennedy 1964,533.15,260.00,25000000,250.00,3.500000e-02,3.800000e-01,0.191639,True,0.108074,True
CO2,Takenouchi & Kennedy 1964,533.15,260.00,30000000,300.00,4.400000e-02,3.600000e-01,0.181471,True,0.133373,True
CO2,Takenouchi & Kennedy 1964,533.15,260.00,40000000,400.00,5.900000e-02,3.580000e-01,0.176699,True,0.132685,True
CO2,Takenouchi & Kennedy 1964,533.15,260.00,50000000,500.00,7.300000e-02,3.760000e-01,0.175395,True,0.142825,True
CO2,Takenouchi & Kennedy 1964,533.15,260.00,60000000,600.00,8.700000e-02,3.960000e-01,0.174800,True,0.168565,True
CO2,Takenouchi & Kennedy 1964,533.15,260.00,70000000,700.00,1.000000e-01,4.200000e-01,0.173347,True,0.186249,False
CO2,Takenouchi & Kennedy 1964,533.15,260.00,80000000,800.00,1.130000e-01,4.400000e-01,0.178357,True,0.198953,False
CO2,Takenouchi & Kennedy 1964,533.15,260.00,90000000,900.00,1.250000e-01,4.520000e-01,0.183367,True,0.208347,False
